r_no	u_no	r_date	r_start	r_end	r_time	r_car	r_seat
43	180	2025-01-04	49	35	11:00	1	A09
44	180	2025-01-04	89	91	14:00	2	B09
45	182	2025-01-04	90	91	14:00	4	B07
46	235	2025-01-04	86	81	14:00	6	D03
47	262	2025-01-04	43	40	16:00	4	B09
48	378	2025-01-04	26	22	18:40	6	D02
49	428	2025-01-04	89	87	18:00	3	B05
50	429	2025-01-04	82	79	10:00	1	A02
51	430	2025-01-04	83	79	14:00	4	A06
52	439	2025-01-04	87	90	14:00	1	A09
53	452	2025-01-04	18	25	8:00	6	B01
54	43	2025-01-05	54	40	15:00	2	A09
55	75	2025-01-05	18	27	9:00	4	D06
56	206	2025-01-05	85	81	18:00	6	A05
57	227	2025-01-05	22	25	8:00	9	C06
58	262	2025-01-05	50	39	11:15	1	B01
59	275	2025-01-05	48	33	7:45	1	B05
60	315	2025-01-05	82	78	14:00	3	C10
61	346	2025-01-05	88	91	18:00	4	A01
62	395	2025-01-05	33	39	21:00	9	B08
63	478	2025-01-05	81	86	14:00	3	C04
64	34	2025-01-06	45	37	21:00	3	A03
65	37	2025-01-06	65	76	16:00	1	B08
66	39	2025-01-06	91	87	14:00	3	C06
67	83	2025-01-06	31	20	9:00	4	C03
68	160	2025-01-06	91	87	10:00	3	A03
69	193	2025-01-06	5	2	16:30	10	A07
70	213	2025-01-06	39	34	10:00	6	D10
71	273	2025-01-06	64	71	12:00	7	A03
72	315	2025-01-06	89	88	18:00	3	B04
73	342	2025-01-06	83	85	14:00	6	A01
74	418	2025-01-06	71	66	16:00	1	C05
75	443	2025-01-06	76	66	8:00	8	C03
76	497	2025-01-06	85	82	10:00	4	D01
77	19	2025-01-07	36	39	16:00	2	B03
78	25	2025-01-07	5	11	10:30	6	A03
79	50	2025-01-07	84	79	10:00	6	D02
80	76	2025-01-07	39	32	19:00	2	C03
81	161	2025-01-07	73	74	12:00	8	A01
82	179	2025-01-07	90	89	18:00	3	B10
83	222	2025-01-07	51	33	13:30	5	C09
84	247	2025-01-07	51	39	12:30	2	B10
85	258	2025-01-07	24	25	17:40	9	D08
86	333	2025-01-07	4	6	14:00	6	D02
87	337	2025-01-07	86	83	18:00	1	C05
88	441	2025-01-07	39	36	15:00	3	A02
89	496	2025-01-07	76	67	10:00	8	D09
90	18	2025-01-08	90	90	14:00	2	B04
91	47	2025-01-08	36	34	13:00	6	B07
92	104	2025-01-08	79	78	14:00	6	A02
93	219	2025-01-08	70	67	18:00	8	C06
94	241	2025-01-08	64	71	18:00	1	C03
95	244	2025-01-08	58	37	14:15	7	A06
96	252	2025-01-08	56	32	10:45	1	A08
97	287	2025-01-08	83	79	10:00	5	D05
98	296	2025-01-08	23	22	16:00	9	B05
99	318	2025-01-08	39	43	20:00	6	D02
100	335	2025-01-08	88	88	14:00	1	C05
101	360	2025-01-08	91	87	18:00	3	B06
102	433	2025-01-08	42	41	16:00	7	B03
103	10	2025-01-09	51	45	12:45	5	C04
104	70	2025-01-09	82	82	18:00	3	C07
105	73	2025-01-09	38	33	12:00	7	D03
106	120	2025-01-09	78	79	14:00	2	B10
107	164	2025-01-09	30	28	11:00	6	B04
108	174	2025-01-09	89	88	18:00	4	B09
109	179	2025-01-09	81	85	14:00	6	A06
110	198	2025-01-09	83	84	10:00	2	B02
111	205	2025-01-09	57	44	7:45	7	D10
112	237	2025-01-09	86	78	10:00	1	A05
113	275	2025-01-09	59	33	9:15	1	A09
114	306	2025-01-09	57	41	17:45	7	D09
115	341	2025-01-09	91	89	18:00	1	A07
116	356	2025-01-09	28	22	10:00	1	C09
117	385	2025-01-09	45	40	18:00	2	A02
118	405	2025-01-09	42	46	6:00	4	D07
119	418	2025-01-09	90	88	10:00	3	A06
120	12	2025-01-10	91	88	14:00	2	C03
121	177	2025-01-10	64	71	16:00	4	B01
122	242	2025-01-10	64	67	12:00	2	A05
123	255	2025-01-10	4	17	22:00	2	B05
124	256	2025-01-10	62	41	18:45	6	D01
125	280	2025-01-10	90	91	18:00	4	D04
126	307	2025-01-10	41	39	7:00	6	C08
127	307	2025-01-10	90	87	10:00	2	C01
128	340	2025-01-10	76	67	20:00	5	D01
129	361	2025-01-10	82	83	10:00	4	D02
130	382	2025-01-10	26	28	21:40	5	C01
131	384	2025-01-10	25	26	20:00	1	C05
132	388	2025-01-10	15	6	12:30	5	C03
133	418	2025-01-10	62	37	23:15	7	B05
134	490	2025-01-10	75	66	8:00	1	A10
135	32	2025-01-11	40	37	16:00	3	C04
136	71	2025-01-11	4	7	18:30	8	A10
137	77	2025-01-11	76	73	20:00	4	B03
138	118	2025-01-11	66	64	18:00	2	B06
139	175	2025-01-11	77	71	10:00	6	B01
140	194	2025-01-11	41	46	11:00	6	A04
141	245	2025-01-11	9	4	22:30	7	C10
142	286	2025-01-11	67	69	18:00	4	C09
143	319	2025-01-11	64	66	10:00	4	A01
144	354	2025-01-11	33	36	20:00	1	B05
145	385	2025-01-11	71	67	12:00	4	A04
146	415	2025-01-11	11	9	12:30	2	B05
147	423	2025-01-11	18	26	14:40	9	A03
148	455	2025-01-11	31	27	21:40	1	B07
149	73	2025-01-12	40	42	20:00	8	C06
150	112	2025-01-12	35	34	18:00	7	D09
151	134	2025-01-12	78	86	18:00	6	A04
152	160	2025-01-12	81	82	14:00	3	A07
153	185	2025-01-12	62	35	21:00	5	C10
154	210	2025-01-12	71	68	10:00	1	C03
155	250	2025-01-12	67	77	20:00	6	C07
156	331	2025-01-12	32	39	16:00	2	B09
157	331	2025-01-12	53	43	12:45	2	A04
158	342	2025-01-12	14	11	19:30	8	A02
159	342	2025-01-12	38	42	12:00	8	D09
160	389	2025-01-12	72	66	14:00	3	B03
161	413	2025-01-12	76	64	18:00	5	C09
162	485	2025-01-12	37	46	7:00	5	B10
163	5	2025-01-13	74	76	10:00	3	C05
164	17	2025-01-13	89	91	18:00	3	C01
165	76	2025-01-13	15	2	7:00	5	C03
166	90	2025-01-13	62	36	22:30	7	C01
167	139	2025-01-13	87	88	18:00	1	B07
168	146	2025-01-13	69	72	8:00	5	D06
169	201	2025-01-13	90	89	18:00	3	A06
170	214	2025-01-13	46	33	21:00	5	B08
171	251	2025-01-13	90	89	14:00	2	A02
172	289	2025-01-13	58	33	12:45	3	C02
173	289	2025-01-13	89	91	18:00	1	A08
174	375	2025-01-13	32	34	6:00	6	C01
175	378	2025-01-13	60	40	19:15	7	B05
176	396	2025-01-13	83	78	14:00	1	A02
177	398	2025-01-13	9	15	21:00	1	C02
178	440	2025-01-13	11	1	16:30	6	D01
179	446	2025-01-13	39	41	23:00	2	C06
180	468	2025-01-13	75	71	14:00	3	A01
181	499	2025-01-13	44	33	21:00	3	A06
182	126	2025-01-14	5	15	23:30	8	C05
183	172	2025-01-14	55	45	9:00	5	D08
184	253	2025-01-14	28	22	8:00	2	A09
185	287	2025-01-14	78	80	10:00	2	C09
186	315	2025-01-14	60	43	22:15	2	C05
187	346	2025-01-14	65	75	14:00	3	C06
188	353	2025-01-14	26	31	17:00	6	D04
189	13	2025-01-15	54	32	14:30	4	A02
190	16	2025-01-15	90	87	10:00	3	A09
191	25	2025-01-15	55	44	22:30	4	D05
192	33	2025-01-15	4	11	19:00	6	B07
193	36	2025-01-15	28	27	20:40	10	B10
194	50	2025-01-15	62	34	19:30	2	C05
195	81	2025-01-15	79	81	18:00	5	D05
196	82	2025-01-15	74	72	20:00	6	B02
197	101	2025-01-15	46	32	19:00	2	C05
198	121	2025-01-15	72	69	10:00	7	B04
199	125	2025-01-15	35	32	12:00	6	C01
200	127	2025-01-15	34	35	23:00	10	B04
201	220	2025-01-15	41	45	16:00	5	C01
202	225	2025-01-15	36	39	7:00	5	B09
203	289	2025-01-15	46	34	7:00	1	C10
204	299	2025-01-15	45	39	14:00	6	C09
205	306	2025-01-15	31	24	8:40	10	C04
206	308	2025-01-15	51	45	7:30	1	C09
207	310	2025-01-15	34	38	16:00	5	B01
208	315	2025-01-15	81	85	10:00	3	A04
209	353	2025-01-15	83	78	14:00	1	A01
210	373	2025-01-15	71	66	10:00	6	B01
211	474	2025-01-15	7	17	11:30	1	C05
212	37	2025-01-16	37	41	19:00	10	D08
213	42	2025-01-16	28	18	21:00	6	D07
214	50	2025-01-16	77	73	8:00	3	A06
215	225	2025-01-16	16	10	19:00	9	D04
216	273	2025-01-16	45	37	8:00	6	C07
217	322	2025-01-16	40	43	21:00	2	C04
218	353	2025-01-16	80	78	10:00	4	A08
219	399	2025-01-16	61	37	11:00	7	C06
220	444	2025-01-16	83	81	14:00	5	D06
221	462	2025-01-16	79	85	18:00	3	B01
222	6	2025-01-17	89	88	18:00	4	C08
223	7	2025-01-17	66	68	18:00	4	A05
224	18	2025-01-17	74	67	20:00	2	C03
225	32	2025-01-17	44	46	15:00	3	B07
226	84	2025-01-17	69	77	10:00	6	B03
227	86	2025-01-17	58	40	10:15	8	C03
228	126	2025-01-17	12	11	22:00	9	A09
229	129	2025-01-17	28	22	9:00	6	D02
230	157	2025-01-17	90	87	14:00	3	A06
231	159	2025-01-17	68	72	14:00	1	C06
232	166	2025-01-17	18	25	19:00	5	D06
233	218	2025-01-17	33	37	9:00	4	B01
234	235	2025-01-17	80	80	10:00	4	D02
235	270	2025-01-17	39	42	21:00	4	D01
236	317	2025-01-17	5	13	22:30	8	B05
237	346	2025-01-17	65	73	16:00	8	B01
238	434	2025-01-17	57	43	8:00	7	B01
239	470	2025-01-17	6	3	17:00	7	C08
240	11	2025-01-18	41	32	7:00	1	A06
241	141	2025-01-18	19	28	18:40	2	B08
242	173	2025-01-18	91	90	14:00	4	D06
243	212	2025-01-18	56	39	21:00	6	C07
244	238	2025-01-18	87	91	14:00	1	C02
245	261	2025-01-18	37	36	17:00	3	B07
246	268	2025-01-18	50	46	15:30	1	A05
247	309	2025-01-18	38	45	21:00	9	A06
248	406	2025-01-18	90	88	14:00	1	C05
249	446	2025-01-18	62	46	15:00	7	C10
250	448	2025-01-18	33	44	23:00	6	A03
251	36	2025-01-19	87	88	18:00	1	B08
252	80	2025-01-19	75	64	12:00	3	B08
253	129	2025-01-19	80	79	18:00	3	A05
254	150	2025-01-19	81	82	14:00	5	B03
255	255	2025-01-19	91	88	10:00	3	A06
256	327	2025-01-19	80	85	10:00	3	A09
257	347	2025-01-19	39	33	7:00	10	D06
258	367	2025-01-19	82	79	18:00	6	B08
259	385	2025-01-19	56	46	14:15	7	D06
260	14	2025-01-20	89	90	10:00	4	C10
261	31	2025-01-20	23	30	14:40	5	D10
262	147	2025-01-20	41	39	21:00	8	B07
263	196	2025-01-20	3	9	22:00	8	B02
264	205	2025-01-20	74	72	14:00	1	A03
265	290	2025-01-20	59	32	17:45	8	C10
266	293	2025-01-20	47	40	11:00	4	A03
267	297	2025-01-20	88	88	14:00	4	B04
268	356	2025-01-20	84	82	14:00	2	B09
269	384	2025-01-20	77	67	12:00	3	B03
270	402	2025-01-20	40	32	8:00	5	C10
271	405	2025-01-20	43	33	13:00	7	A07
272	410	2025-01-20	61	46	18:30	6	A03
273	445	2025-01-20	81	85	14:00	2	A04
274	6	2025-01-21	50	42	16:45	7	A09
275	8	2025-01-21	42	45	14:00	6	C10
276	11	2025-01-21	5	15	13:30	4	C04
277	16	2025-01-21	89	87	18:00	3	B01
278	71	2025-01-21	49	33	7:45	8	A09
279	168	2025-01-21	91	88	10:00	2	B01
280	169	2025-01-21	47	32	18:45	8	A10
281	171	2025-01-21	42	33	22:00	8	D06
282	184	2025-01-21	40	33	20:00	8	C07
283	241	2025-01-21	55	46	7:45	3	A10
284	364	2025-01-21	21	25	11:00	5	C07
285	441	2025-01-21	83	81	10:00	5	C08
286	441	2025-01-21	88	90	14:00	4	A09
287	445	2025-01-21	90	87	10:00	2	B01
288	6	2025-01-22	32	37	7:00	4	B06
289	15	2025-01-22	1	8	8:00	5	B01
290	17	2025-01-22	46	45	19:00	5	B08
291	23	2025-01-22	63	37	10:00	2	B10
292	68	2025-01-22	83	85	18:00	4	D01
293	97	2025-01-22	48	32	9:30	6	C05
294	118	2025-01-22	39	40	17:00	9	D08
295	153	2025-01-22	67	74	8:00	7	D05
296	202	2025-01-22	67	69	8:00	5	A10
297	205	2025-01-22	80	83	10:00	1	B04
298	209	2025-01-22	56	37	21:00	1	A08
299	288	2025-01-22	64	70	18:00	5	D08
300	293	2025-01-22	59	37	12:00	5	D07
301	321	2025-01-22	52	34	10:00	2	A04
302	328	2025-01-22	27	24	13:00	9	D01
303	379	2025-01-22	33	40	6:00	2	B08
304	402	2025-01-22	46	45	11:00	2	A08
305	402	2025-01-22	90	87	14:00	3	C09
306	406	2025-01-22	40	42	8:00	5	A09
307	417	2025-01-22	30	22	21:00	2	C04
308	428	2025-01-22	87	88	18:00	1	C05
309	465	2025-01-22	76	74	18:00	6	B05
310	469	2025-01-22	50	36	21:45	7	B01
311	9	2025-01-23	8	14	21:00	10	C05
312	33	2025-01-23	77	73	10:00	2	B03
313	255	2025-01-23	90	87	14:00	1	A06
314	314	2025-01-23	81	82	14:00	6	A07
315	331	2025-01-23	75	68	8:00	7	D10
316	374	2025-01-23	51	39	15:00	2	A02
317	403	2025-01-23	77	74	12:00	2	B03
318	408	2025-01-23	63	34	13:45	7	C04
319	410	2025-01-23	84	80	14:00	6	A06
320	438	2025-01-23	71	70	16:00	7	C02
321	37	2025-01-24	56	42	15:15	8	B02
322	42	2025-01-24	65	70	8:00	4	D07
323	85	2025-01-24	53	35	10:00	7	A07
324	148	2025-01-24	89	87	10:00	3	C05
325	202	2025-01-24	30	26	22:40	5	A06
326	216	2025-01-24	59	40	17:30	8	C09
327	293	2025-01-24	44	40	21:00	7	A10
328	322	2025-01-24	19	25	14:40	3	B09
329	339	2025-01-24	46	42	7:00	8	B02
330	457	2025-01-24	29	24	22:00	2	A02
331	2	2025-01-25	72	76	12:00	6	B05
332	97	2025-01-25	10	15	9:00	3	B02
333	192	2025-01-25	18	22	13:40	9	D03
334	211	2025-01-25	78	78	18:00	4	C09
335	213	2025-01-25	91	90	18:00	1	C07
336	280	2025-01-25	88	90	18:00	1	A06
337	289	2025-01-25	60	33	15:00	5	B06
338	296	2025-01-25	82	78	18:00	3	C06
339	379	2025-01-25	47	37	17:30	3	C09
340	389	2025-01-25	31	26	19:40	8	D03
341	391	2025-01-25	73	76	16:00	2	A09
342	397	2025-01-25	46	34	10:00	6	A06
343	414	2025-01-25	23	19	14:40	8	B06
344	452	2025-01-25	87	89	18:00	3	C01
345	15	2025-01-26	42	43	22:00	3	C07
346	67	2025-01-26	88	91	10:00	3	C05
347	127	2025-01-26	91	88	18:00	4	C06
348	142	2025-01-26	14	13	10:00	4	A10
349	182	2025-01-26	19	31	14:00	4	D01
350	217	2025-01-26	37	40	6:00	7	C06
351	289	2025-01-26	54	34	15:45	6	D01
352	325	2025-01-26	56	42	21:00	5	A03
353	328	2025-01-26	25	19	11:00	7	B09
354	370	2025-01-26	39	42	17:00	9	D08
355	455	2025-01-26	45	43	12:00	3	A03
356	477	2025-01-26	17	3	7:30	3	B06
357	489	2025-01-26	48	41	21:15	3	B07
358	500	2025-01-26	91	89	18:00	2	C07
359	32	2025-01-27	79	86	14:00	1	A06
360	93	2025-01-27	35	34	11:00	7	C04
361	98	2025-01-27	44	32	14:00	7	B01
362	102	2025-01-27	90	87	14:00	1	A10
363	103	2025-01-27	31	23	19:40	1	B03
364	120	2025-01-27	83	85	18:00	5	C07
365	152	2025-01-27	68	76	20:00	4	C07
366	298	2025-01-27	45	43	6:00	7	B04
367	303	2025-01-27	75	64	12:00	7	B03
368	315	2025-01-27	33	32	20:00	2	B05
369	352	2025-01-27	38	43	16:00	6	D09
370	364	2025-01-27	89	91	10:00	3	A10
371	412	2025-01-27	43	35	13:00	10	C07
372	422	2025-01-27	47	39	13:15	4	C10
373	425	2025-01-27	87	90	10:00	2	B09
374	455	2025-01-27	42	44	20:00	3	C02
375	472	2025-01-27	53	34	14:30	1	A07
376	495	2025-01-27	81	80	14:00	2	C03
377	1	2025-01-28	87	89	18:00	2	B04
378	40	2025-01-28	43	34	13:00	10	C03
379	120	2025-01-28	61	44	16:30	4	B05
380	167	2025-01-28	39	37	11:00	8	C05
381	187	2025-01-28	48	42	17:00	3	A01
382	249	2025-01-28	12	4	19:30	3	B07
383	257	2025-01-28	31	27	15:40	7	A07
384	316	2025-01-28	54	33	18:00	7	D10
385	318	2025-01-28	22	24	22:00	9	A10
386	331	2025-01-28	1	6	19:00	5	D04
387	378	2025-01-28	37	35	21:00	3	B02
388	434	2025-01-28	7	5	16:30	6	A10
389	457	2025-01-28	79	82	14:00	6	C09
390	1	2025-01-29	43	32	19:00	10	A09
391	7	2025-01-29	20	24	22:00	8	B04
392	30	2025-01-29	41	33	17:00	10	D06
393	36	2025-01-29	20	18	11:40	8	C02
394	44	2025-01-29	36	45	21:00	8	C02
395	56	2025-01-29	90	87	18:00	3	C01
396	58	2025-01-29	83	84	14:00	5	C02
397	176	2025-01-29	15	5	21:00	9	D04
398	201	2025-01-29	69	77	18:00	8	D04
399	216	2025-01-29	19	30	17:40	1	A06
400	267	2025-01-29	77	70	12:00	4	B05
401	304	2025-01-29	82	83	14:00	6	C06
402	309	2025-01-29	90	87	10:00	3	A06
403	355	2025-01-29	91	89	18:00	1	B02
404	358	2025-01-29	87	90	10:00	4	C01
405	396	2025-01-29	53	32	20:15	6	C04
406	431	2025-01-29	12	1	14:00	2	A06
407	445	2025-01-29	55	37	11:00	8	B02
408	447	2025-01-29	2	8	13:30	5	A09
409	484	2025-01-29	46	34	17:00	8	B10
410	5	2025-01-30	77	73	10:00	2	C09
411	7	2025-01-30	59	35	10:45	2	A07
412	123	2025-01-30	89	87	10:00	1	B10
413	186	2025-01-30	61	34	7:00	7	D02
414	211	2025-01-30	71	73	16:00	5	B02
415	256	2025-01-30	62	39	13:15	7	D06
416	297	2025-01-30	74	70	16:00	8	A05
417	360	2025-01-30	70	69	14:00	5	B05
418	363	2025-01-30	59	34	13:45	1	B05
419	366	2025-01-30	86	79	18:00	4	D08
420	420	2025-01-30	38	41	8:00	9	C08
421	499	2025-01-30	86	83	10:00	4	A06
422	49	2025-01-31	81	83	10:00	4	C01
423	76	2025-01-31	91	88	18:00	1	A07
424	79	2025-01-31	86	84	10:00	4	B06
425	118	2025-01-31	89	88	18:00	2	B09
426	124	2025-01-31	46	45	21:00	6	A08
427	130	2025-01-31	65	74	18:00	3	A01
428	134	2025-01-31	88	90	14:00	1	C03
429	169	2025-01-31	8	6	6:00	2	C07
430	179	2025-01-31	76	77	16:00	8	D08
431	262	2025-01-31	14	2	18:30	6	D07
432	303	2025-01-31	43	35	20:00	1	B01
433	360	2025-01-31	56	41	8:00	4	A03
434	431	2025-01-31	90	90	18:00	1	A01
435	434	2025-01-31	68	67	16:00	6	A08
436	439	2025-01-31	91	91	10:00	4	A04
437	440	2025-01-31	75	68	16:00	1	B06
438	7	2025-02-01	23	20	15:40	2	B08
439	122	2025-02-01	60	37	14:45	5	C10
440	129	2025-02-01	73	76	18:00	5	C06
441	200	2025-02-01	26	30	12:40	2	C08
442	212	2025-02-01	57	43	23:30	7	C01
443	285	2025-02-01	23	18	11:00	5	C04
444	366	2025-02-01	88	88	10:00	1	C05
445	403	2025-02-01	91	89	18:00	4	B10
446	420	2025-02-01	13	2	13:30	5	D01
447	430	2025-02-01	87	88	14:00	4	B04
448	496	2025-02-01	74	64	18:00	6	B06
449	47	2025-02-02	80	84	10:00	2	B02
450	71	2025-02-02	47	45	22:00	7	C03
451	93	2025-02-02	34	33	16:00	3	A02
452	105	2025-02-02	69	75	8:00	3	C05
453	150	2025-02-02	54	35	11:30	5	C06
454	202	2025-02-02	32	35	18:00	8	A03
455	254	2025-02-02	36	43	16:00	8	C10
456	273	2025-02-02	45	32	17:00	3	C01
457	273	2025-02-02	91	87	18:00	4	D01
458	280	2025-02-02	84	79	18:00	1	B01
459	298	2025-02-02	21	28	7:00	4	A05
460	399	2025-02-02	51	38	18:30	7	B01
461	412	2025-02-02	89	89	10:00	2	A03
462	413	2025-02-02	75	65	12:00	4	C07
463	448	2025-02-02	63	35	21:15	4	C02
464	499	2025-02-02	89	88	10:00	3	C04
465	3	2025-02-03	23	27	22:00	3	B09
466	34	2025-02-03	62	37	22:45	1	B02
467	48	2025-02-03	77	69	12:00	7	B06
468	65	2025-02-03	85	86	18:00	5	A02
469	112	2025-02-03	67	69	16:00	7	B05
470	139	2025-02-03	72	66	14:00	5	A04
471	141	2025-02-03	80	78	18:00	1	C03
472	153	2025-02-03	26	22	14:40	4	A06
473	157	2025-02-03	41	35	21:00	9	A02
474	184	2025-02-03	56	40	8:30	7	D02
475	242	2025-02-03	7	14	21:00	3	C02
476	242	2025-02-03	63	41	6:00	3	C08
477	250	2025-02-03	75	77	20:00	3	C07
478	283	2025-02-03	34	42	19:00	2	A08
479	367	2025-02-03	88	91	14:00	2	B08
480	372	2025-02-03	26	27	18:00	8	A04
481	390	2025-02-03	51	33	16:15	4	D05
482	396	2025-02-03	90	91	10:00	3	C02
483	409	2025-02-03	77	73	8:00	6	A10
484	451	2025-02-03	53	46	7:00	3	C04
485	5	2025-02-04	47	40	10:30	5	B01
486	20	2025-02-04	41	32	13:00	3	A05
487	103	2025-02-04	38	39	16:00	8	B05
488	115	2025-02-04	47	36	13:30	1	C01
489	148	2025-02-04	68	67	14:00	6	D06
490	242	2025-02-04	79	80	10:00	1	A06
491	248	2025-02-04	87	88	14:00	4	D03
492	298	2025-02-04	88	88	10:00	4	C03
493	356	2025-02-04	36	45	13:00	6	A01
494	405	2025-02-04	19	25	20:00	9	C10
495	420	2025-02-04	8	11	21:00	8	A01
496	454	2025-02-04	19	28	18:40	10	C10
497	493	2025-02-04	44	33	19:00	4	B09
498	47	2025-02-05	63	38	8:15	5	B01
499	58	2025-02-05	17	1	17:30	1	B02
500	80	2025-02-05	36	45	19:00	7	D05
501	109	2025-02-05	41	35	11:00	6	A01
502	123	2025-02-05	52	37	10:45	7	A02
503	158	2025-02-05	10	8	11:30	5	C04
504	198	2025-02-05	67	64	18:00	3	A04
505	301	2025-02-05	77	74	8:00	8	B03
506	318	2025-02-05	55	36	6:45	7	A07
507	430	2025-02-05	90	87	18:00	4	D10
508	453	2025-02-05	53	44	16:15	4	B10
509	63	2025-02-06	52	46	21:00	1	B04
510	66	2025-02-06	66	64	20:00	2	B10
511	99	2025-02-06	49	35	11:30	5	B08
512	175	2025-02-06	88	91	10:00	4	B02
513	286	2025-02-06	89	87	14:00	1	A08
514	292	2025-02-06	37	46	8:00	3	C05
515	318	2025-02-06	46	33	20:00	2	C06
516	330	2025-02-06	82	84	18:00	5	C09
517	428	2025-02-06	1	16	9:30	2	C07
518	465	2025-02-06	85	80	14:00	4	C02
519	475	2025-02-06	74	65	18:00	7	A04
520	3	2025-02-07	39	37	13:00	5	C01
521	43	2025-02-07	47	40	11:15	2	C06
522	78	2025-02-07	74	67	20:00	4	A05
523	101	2025-02-07	7	1	10:30	7	C07
524	119	2025-02-07	79	85	14:00	2	A07
525	236	2025-02-07	55	39	17:45	8	A05
526	398	2025-02-07	30	23	19:00	3	B05
527	419	2025-02-07	71	72	8:00	8	A03
528	433	2025-02-07	64	74	12:00	3	C03
529	448	2025-02-07	35	38	10:00	4	A05
530	481	2025-02-07	87	87	14:00	1	A05
531	90	2025-02-08	46	39	10:00	9	A08
532	197	2025-02-08	80	85	10:00	2	B01
533	305	2025-02-08	23	20	14:40	6	A01
534	408	2025-02-08	90	89	10:00	1	C05
535	447	2025-02-08	10	14	17:30	6	D01
536	95	2025-02-09	60	39	11:00	5	C08
537	191	2025-02-09	37	41	13:00	5	A02
538	204	2025-02-09	77	67	10:00	5	B04
539	209	2025-02-09	90	90	10:00	4	B05
540	265	2025-02-09	64	67	10:00	5	C08
541	266	2025-02-09	87	90	18:00	4	D08
542	361	2025-02-09	84	85	14:00	6	B07
543	379	2025-02-09	64	71	10:00	7	D06
544	441	2025-02-09	43	37	17:00	4	A03
545	496	2025-02-09	75	72	16:00	7	A04
546	35	2025-02-10	85	80	14:00	6	C08
547	89	2025-02-10	68	67	10:00	5	C02
548	94	2025-02-10	22	25	20:00	7	A06
549	145	2025-02-10	58	32	19:45	4	B03
550	193	2025-02-10	52	33	23:30	5	A08
551	262	2025-02-10	28	31	17:40	2	C10
552	306	2025-02-10	38	40	17:00	3	C10
553	319	2025-02-10	27	22	15:00	7	D01
554	437	2025-02-10	91	90	18:00	1	B03
555	443	2025-02-10	56	38	9:00	8	D08
556	17	2025-02-11	87	90	14:00	4	D01
557	44	2025-02-11	88	87	18:00	2	B03
558	46	2025-02-11	67	75	18:00	3	B06
559	153	2025-02-11	28	19	10:40	3	B04
560	212	2025-02-11	22	20	17:00	6	D04
561	225	2025-02-11	88	87	18:00	2	B06
562	254	2025-02-11	4	5	11:30	1	C06
563	260	2025-02-11	83	86	18:00	1	B03
564	321	2025-02-11	90	88	10:00	3	B03
565	337	2025-02-11	13	8	21:30	6	B10
566	356	2025-02-11	90	87	18:00	4	B03
567	362	2025-02-11	33	32	18:00	7	B06
568	386	2025-02-11	91	90	14:00	2	B02
569	465	2025-02-11	86	85	18:00	4	D05
570	61	2025-02-12	34	35	8:00	9	A03
571	83	2025-02-12	78	80	10:00	1	B03
572	124	2025-02-12	90	87	14:00	4	C10
573	161	2025-02-12	64	73	16:00	8	C03
574	221	2025-02-12	50	45	17:30	2	B09
575	297	2025-02-12	84	80	10:00	6	B07
576	337	2025-02-12	84	85	10:00	3	C08
577	357	2025-02-12	66	75	8:00	7	C09
578	407	2025-02-12	88	87	10:00	2	C01
579	426	2025-02-12	84	85	10:00	3	A05
580	450	2025-02-12	2	16	11:30	6	D01
